Administrative_Area,Cuisine,Number of restaurants
SOUTH DUBLIN,Colombian,0
SOUTH DUBLIN,Peruvian,0
SOUTH DUBLIN,Venezuelan,0
SOUTH DUBLIN,Moroccan,0
SOUTH DUBLIN,Mexican,0
SOUTH DUBLIN,Egyptian,0
SOUTH DUBLIN,Iraqi,0
SOUTH DUBLIN,Israeli,0
SOUTH DUBLIN,Kurdish,0
SOUTH DUBLIN,Lebanese,0
SOUTH DUBLIN,Persian,0
SOUTH DUBLIN,Syrian,0
SOUTH DUBLIN,Yemeni,0
SOUTH DUBLIN,Pakistani,0
SOUTH DUBLIN,Polish,0
SOUTH DUBLIN,Portuguese,1
SOUTH DUBLIN,Russian,0
SOUTH DUBLIN,Scandinavian,0
SOUTH DUBLIN,Scottish,0
SOUTH DUBLIN,Slovak,0
SOUTH DUBLIN,Spanish,1
SOUTH DUBLIN,Sri Lankan,0
SOUTH DUBLIN,Swiss,0
SOUTH DUBLIN,Turkish,1
SOUTH DUBLIN,Ukranian,0
KILDARE,Afghan,0
KILDARE,African,0
KILDARE,American,4
KILDARE,Burmese,0
KILDARE,Cambodian,0
KILDARE,Chinese,4
KILDARE,Filipino,0
KILDARE,Himalayan,0
KILDARE,Indonesian,0
KILDARE,Japanese,3
KILDARE,Korean,0
KILDARE,Malay,1
KILDARE,Mongolian,0
KILDARE,Thai,8
KILDARE,Tibetan,0
KILDARE,Vietnamese,0
KILDARE,Australian,0
KILDARE,Austrian,0
KILDARE,Bangladeshi,0
KILDARE,Belgian,0
KILDARE,Caribbean,0
KILDARE,Caucasian,0
KILDARE,Czech,0
KILDARE,Dutch,0
KILDARE,Belarusian,0
KILDARE,Bosnian,0
KILDARE,Bulgarian,0
KILDARE,Romanian,0
KILDARE,Tatar,0
KILDARE,English,0
KILDARE,French,3
KILDARE,German,0
KILDARE,Greek,0
KILDARE,Hawaiian,0
KILDARE,Hungarian,0
KILDARE,Indian,6
KILDARE,Italian,9
KILDARE,Salvadoran,0
KILDARE,Argentinian,0
KILDARE,Brazilian,0
KILDARE,Colombian,0
KILDARE,Peruvian,0
KILDARE,Venezuelan,0
KILDARE,Moroccan,0
KILDARE,Mexican,0
KILDARE,Egyptian,0
KILDARE,Iraqi,0
KILDARE,Israeli,0
KILDARE,Kurdish,0
KILDARE,Lebanese,0
KILDARE,Persian,0
KILDARE,Syrian,0
KILDARE,Yemeni,0
KILDARE,Pakistani,0
KILDARE,Polish,1
KILDARE,Portuguese,1
KILDARE,Russian,0
KILDARE,Scandinavian,0
KILDARE,Scottish,0
KILDARE,Slovak,0
KILDARE,Spanish,1
KILDARE,Sri Lankan,0
KILDARE,Swiss,0
KILDARE,Turkish,0
KILDARE,Ukranian,0
DÚN LAOGHAIRE-RATHDOWN,Afghan,0
DÚN LAOGHAIRE-RATHDOWN,African,1
DÚN LAOGHAIRE-RATHDOWN,American,4
DÚN LAOGHAIRE-RATHDOWN,Burmese,0
DÚN LAOGHAIRE-RATHDOWN,Cambodian,0
DÚN LAOGHAIRE-RATHDOWN,Chinese,11
DÚN LAOGHAIRE-RATHDOWN,Filipino,1
DÚN LAOGHAIRE-RATHDOWN,Himalayan,0
DÚN LAOGHAIRE-RATHDOWN,Indonesian,0
DÚN LAOGHAIRE-RATHDOWN,Japanese,4
DÚN LAOGHAIRE-RATHDOWN,Korean,2
DÚN LAOGHAIRE-RATHDOWN,Malay,0
DÚN LAOGHAIRE-RATHDOWN,Mongolian,0
DÚN LAOGHAIRE-RATHDOWN,Thai,10
DÚN LAOGHAIRE-RATHDOWN,Tibetan,0
DÚN LAOGHAIRE-RATHDOWN,Vietnamese,0
DÚN LAOGHAIRE-RATHDOWN,Australian,0
DÚN LAOGHAIRE-RATHDOWN,Austrian,0
DÚN LAOGHAIRE-RATHDOWN,Bangladeshi,0
DÚN LAOGHAIRE-RATHDOWN,Belgian,0
DÚN LAOGHAIRE-RATHDOWN,Caribbean,0
DÚN LAOGHAIRE-RATHDOWN,Caucasian,0
DÚN LAOGHAIRE-RATHDOWN,Czech,0
DÚN LAOGHAIRE-RATHDOWN,Dutch,0
DÚN LAOGHAIRE-RATHDOWN,Belarusian,0
DÚN LAOGHAIRE-RATHDOWN,Bosnian,0
DÚN LAOGHAIRE-RATHDOWN,Bulgarian,0
DÚN LAOGHAIRE-RATHDOWN,Romanian,0
DÚN LAOGHAIRE-RATHDOWN,Tatar,0
DÚN LAOGHAIRE-RATHDOWN,English,1
DÚN LAOGHAIRE-RATHDOWN,French,5
DÚN LAOGHAIRE-RATHDOWN,German,1
DÚN LAOGHAIRE-RATHDOWN,Greek,0
DÚN LAOGHAIRE-RATHDOWN,Hawaiian,1
DÚN LAOGHAIRE-RATHDOWN,Hungarian,0
DÚN LAOGHAIRE-RATHDOWN,Indian,8
DÚN LAOGHAIRE-RATHDOWN,Italian,18
DÚN LAOGHAIRE-RATHDOWN,Salvadoran,0
DÚN LAOGHAIRE-RATHDOWN,Argentinian,0
DÚN LAOGHAIRE-RATHDOWN,Brazilian,0
DÚN LAOGHAIRE-RATHDOWN,Colombian,0
DÚN LAOGHAIRE-RATHDOWN,Peruvian,0
DÚN LAOGHAIRE-RATHDOWN,Venezuelan,0
DÚN LAOGHAIRE-RATHDOWN,Moroccan,1
DÚN LAOGHAIRE-RATHDOWN,Mexican,2
DÚN LAOGHAIRE-RATHDOWN,Egyptian,0
DÚN LAOGHAIRE-RATHDOWN,Iraqi,0
DÚN LAOGHAIRE-RATHDOWN,Israeli,0
